330.013,263.96,0.220317,0.0214967,1.19245e-05,1.08626e-06,4.09685e-13,5.21378e-09,3.88795e-12,0.489354,0.455005,webcamRemote
307.341,236.211,0.200476,0.0131703,1.8315e-05,8.27666e-07,3.21798e-12,9.4883e-08,1.69541e-13,0.596226,0.533679,webcamRemote
319.131,230.942,0.211069,0.0175317,3.93841e-06,2.62317e-07,-2.66618e-13,-3.46961e-08,1.69741e-15,0.692855,0.479362,webcamRemote
300.88,246.694,0.209537,0.016738,4.398e-05,4.54236e-06,3.18234e-11,2.26281e-07,5.57601e-11,0.511004,0.496359,phone
230.834,235.304,0.193958,0.0106129,4.85339e-05,3.14679e-06,3.84536e-11,3.20851e-07,-5.80135e-12,0.625624,0.580589,phone
269.411,243.276,0.203093,0.0141612,8.96414e-06,7.65715e-07,-1.42281e-13,-2.69556e-08,-2.00106e-12,0.881565,0.511847,phone
272.001,257.952,0.196176,0.0112747,2.37806e-05,1.08104e-06,4.9869e-12,1.05539e-07,-2.27474e-12,0.560125,0.557722,phone
332.41,233.639,0.209767,0.0168925,2.1411e-05,2.13919e-06,6.84824e-12,1.07883e-07,1.27554e-11,0.508978,0.492769,phone
297.849,207.225,0.207298,0.0158873,2.62691e-06,1.72025e-07,-4.74262e-14,-9.04368e-09,-1.05467e-13,0.888731,0.49197,webcamRemote
299.493,183.534,0.198806,0.0125041,1.60382e-05,5.77887e-07,1.73438e-12,6.39587e-08,-2.95088e-13,0.593939,0.539883,webcamRemote
307.757,178.772,0.218422,0.0207604,9.27509e-06,8.77908e-07,1.17423e-12,5.24183e-08,2.2129e-12,0.495789,0.459888,webcamRemote
318.556,180.62,0.197782,0.0120117,5.80649e-06,3.71321e-07,5.37381e-13,4.01218e-08,-9.21851e-14,0.51867,0.542662,webcamRemote
297.126,160.18,0.203521,0.0144953,9.92342e-06,1.16487e-06,3.89081e-12,1.35584e-07,-7.396e-13,0.860735,0.518922,webcamRemote
